name,CONML,gvkey_n,sdc_cusip
KBR Inc,KBR Inc,174310,48242W
KCG Holdings Inc,KCG Holdings Inc,18246,48244B
KIT digital Inc,KIT digital Inc,141240,482470
KKR Financial Holdings LLC,KKR Financial Holdings LLC,161000,48248A
KKR & Co LP,KKR & Co Inc,179741,48248M
KKR & Co Inc,KKR & Co Inc,179741,48251W
K2 Inc,K2 Inc.,1677,482732
Kaiser Ventures LLC,Kaiser Ventures Inc,23276,483101
Kaman Corp,Kaman Corp,6326,483548
Kaneb Services Inc,Kaneb Services LLC,144076,484170
Kansas City Life Insurance Co,Kansas City Life Insurance Co,6333,484836
Kapstone Paper & Packaging,KapStone Paper & Packaging Corp,164680,48562P
Katy Industries Inc,Katy Industries Inc,6349,486026
Keane Inc,Keane Inc.,6362,48673W
Kearny Financial Corp,Kearny Financial Corp,161853,487169
Kellogg Co,Kellogg Co,6375,487836
Kellstrom Industries Inc,Kellstrom Industries Inc,61242,488035
KEMET Corp,KEMET Corp,25848,488360
Kemper Corp,Kemper Corp,21503,488401
Kenexa Corp,Kenexa Corp,163771,488879
Kennedy Wilson Holdings Inc,Kennedy-Wilson Holdings Inc,25632,489398
Kerr-McGee Corp,Kerr-McGee Corp,6403,492386
Kevco Inc,Kevco Inc,63920,492716
Key Energy Services Inc,Key Energy Services Inc.,11644,492914
Kforce Inc,Kforce Inc,61179,493732
Kimball International Inc,Kimball International Inc,6433,494274
Kilroy Realty Corp,Kilroy Realty Corp,64306,49427F
Kimball Electronics Inc,Kimball Electronics Inc,20692,49428J
Kimberly-Clark Corp,Kimberly-Clark Corp,6435,494368
Kimco Realty Corp,Kimco Realty Corp,24731,49446R
Kinder Morgan Energy Partners,Kinder Morgan Energy Partners LP,25627,494550
Kinder Morgan Inc,Kinder Morgan Inc.,6310,49455P
Kinder Morgan Inc,Kinder Morgan Inc.,6310,49456B
Kindred Biosciences Inc,Kindred Biosciences Inc,19143,494577
Kindred Healthcare Inc,Kindred Healthcare Inc,17239,494580
King Pharmaceuticals Inc,King Pharmaceuticals Inc.,112033,495582
KiOR Inc,KiOR Inc,186898,497217
Kirby Corp,Kirby Corp,6461,497266
Kite Realty Group Trust,Kite Realty Group Trust,266315,49803T
Knoll Inc,Knoll Inc,64745,498904
Koala Corp,Koala Corp,28987,499866
Perk International Inc,Perk International Inc -old,20125,4A5683
Mobile Lads Corp,Mobile Lads Corp,19379,4A7269
Chatham Lodging Trust,Chatham Lodging Trust,184688,4C4714
William Penn Bancorp Inc,William Penn Bancorp Inc,179865,4C4937
Klx Inc,KLX Inc,22343,4C9379
HarborOne Bancorp Inc,HarborOne Bancorp Inc,27604,4E0962
Tailored Brands Inc,Tailored Brands Inc,25167,4E0976
Armstrong Flooring Inc,Armstrong Flooring Inc,26343,4E8538
Ironclad Encryption Corp,Ironclad Encryption Corp,32721,4F1170
